cnic,name_en,name_ur,father_husband_name,gender,dob,date_of_issue,date_of_expiry,present_address,permanent_address,place_of_birth,marital_status,religion,mobile,family_tree_id
363021-2181960-1,Muhammad Qureshi,محمد قریشی,Hamza Qureshi,M,1974-08-13,2017-08-10,2027-08-10,"House 28, Street 36, Gulgasht Colony, Multan","House 666, Street 45, Model Town, Multan",Multan,Married,Islam,0333-1109031,FT-1000
173019-3511615-5,Fahad Bhatti,Fahad Bhatti,Hussain Bhatti,M,1978-09-24,2015-06-27,2025-06-27,"House 550, Street 8, Gulbahar, Peshawar","House 566, Street 19, DHA-II, Islamabad",Peshawar,Married,Islam,0322-2166941,FT-1000
611015-3164752-5,Muhammad Salman Cheema,محمد Salman Cheema,Bilawal Cheema,M,1973-10-18,2022-07-08,2032-07-08,"House 960, Street 44, F-7, Islamabad","House 651, Street 11, Madina Town, Faisalabad",Islamabad,Married,Islam,0333-4684531,FT-1000
363023-0564139-5,Umar Malik,عمر ملک,Hamza Malik,M,1999-10-15,2019-06-09,2029-06-09,"House 659, Street 30, Gulgasht Colony, Multan","House 143, Street 16, Bahadurabad, Karachi",Multan,Married,Islam,0312-7700828,FT-1001
421016-0122691-7,Hussain Cheema,حسین Cheema,Salman Cheema,M,1996-12-28,2020-12-07,2030-12-07,"House 567, Street 56, Clifton, Karachi","House 739, Street 8, Shah Rukn-e-Alam, Multan",Karachi,Married,Islam,0312-3653446,FT-1001
374055-2814893-3,Danish Bhatti,Danish Bhatti,Rizwan Bhatti,M,1969-06-29,2021-01-18,2031-01-18,"House 945, Street 34, Bahria Town, Rawalpindi","House 332, Street 32, D Ground, Faisalabad",Rawalpindi,Single,Islam,0333-5017343,FT-1001
611014-7182278-3,Farhan Cheema,Farhan Cheema,Danish Cheema,M,2002-05-04,2021-10-20,2031-10-20,"House 217, Street 60, Bahria Town, Islamabad","House 748, Street 45, University Town, Peshawar",Islamabad,Married,Islam,0307-7264956,FT-1002
374050-1509839-2,Zainab Qureshi,زینب قریشی,Hamza Qureshi,F,1961-05-15,2022-12-09,2032-12-09,"House 235, Street 5, Bahria Town, Rawalpindi","House 339, Street 5, University Town, Peshawar",Rawalpindi,Married,Islam,0321-3219824,FT-1002
363027-6311656-6,Sadia Satti,Sadia Satti,Abdullah Satti,F,1959-11-11,2022-07-21,2032-07-21,"House 662, Street 7, Cantt, Multan","House 746, Street 22, Bahria Town, Rawalpindi",Multan,Married,Islam,0331-8526486,FT-1002
352021-3178108-0,Hira Bhatti,حرا Bhatti,Adnan Bhatti,F,1976-03-16,2016-11-12,2026-11-12,"House 493, Street 14, Wapda Town, Lahore","House 925, Street 4, Satellite Town, Rawalpindi",Lahore,Married,Islam,0312-5449368,FT-1003
173018-8723430-8,Nimra Mir,Nimra Mir,Fahad Mir,F,1960-06-20,2023-05-22,2033-05-22,"House 52, Street 38, Gulbahar, Peshawar","House 942, Street 55, Madina Town, Faisalabad",Peshawar,Single,Christianity,0301-4117625,FT-1003
