reg_number,engine_cc,make,model,variant,manufacturing_year,color,chassis_number,engine_number,registration_date,token_tax,owner_cnic,owner_name,owner_present_address,owner_permanent_address,vehicle_value
CLH-288,1000,Kia,Picanto,AT,2020,Silver,9L32FZRPYY0VP7AHZ,0H655HB7LND,2020-01-06,246468,611019-9399091-7,Nauman Dar,"House 210, Street 43, G-10, Islamabad","House 272, Street 26, Gulberg III, Lahore",3400000
HCK-712,1000,Suzuki,WagonR,VXL,2024,Red,TNAAHA1PX30GK4TT4,4M5J7NGP331,2024-08-02,194679,331007-4369957-7,Asad Khan,"House 923, Street 51, Madina Town, Faisalabad","House 87, Street 19, Shah Rukn-e-Alam, Multan",3100000
DNG-568,660,Suzuki,Alto,VXL,2018,Grey,YG3CH569J8AD479MM,9EDN755L2NP,2018-02-07,260617,611014-7182278-3,Farha nCheema,"House 217, Street 60, Bahria Town, Islamabad","House 748, Street 45, University Town, Peshawar",2600000
NKK-572,1500,Honda,Civic,Oriel,2020,Black,4VDK65F9HMJ23X5BM,048G0CJL868,2020-12-05,523682,363029-1592124-9,Tariq Abbasi,"House 544, Street 19, Model Town, Multan","House 620, Street 28, D Ground, Faisalabad",9500000
HME-897,1300,Toyota,Yaris,ATIV,2018,Silver,HF8AC70X8U8M9U2RJ,B2P13B2MN7F,2018-04-10,343588,352027-0430923-3,Salman Malik,"House 477, Street 45, Model Town, Lahore","House 378, Street 11, Hayatabad, Peshawar",5200000
GEK-805,1300,Toyota,Corolla,GLi,2017,Black,4KLXEHMXKBX33W5UK,GDEFA55J545,2017-07-21,270046,363023-1200471-0,Nimra aTrar,"House 380, Street 43, Model Town, Multan","House 761, Street 47, Madina Town, Faisalabad",5800000
MFN-603,2000,Hyundai,Tucson,Ultimate,2023,Beige,JLNRC3AU3RNPEM58X,0HPNB59N9LN,2023-12-26,605752,421014-3515850-7,Fahad Abbasi,"House 844, Street 30, Clifton, Karachi","House 218, Street 42, Cantt, Multan",10500000
LED-941,1500,MG,HS,Essence,2019,Black,PC61HAWCFY6CGWBWP,LGGKJ3L07DJ,2019-06-25,280995,374055-6966416-1,Adnan Raja,"House 472, Street 54, Chaklala Scheme 3, Rawalpindi","House 448, Street 55, F-7, Islamabad",9000000
CAH-660,1500,Honda,BR-V,S,2020,Pearl White,PDMKDZCKCWYFDG3ML,7K5788543F0,2020-12-14,506000,374055-7661565-4,Sadia Mir,"House 69, Street 6, Bahria Town, Rawalpindi","House 443, Street 7, G-10, Islamabad",6500000
PKL-828,660,Suzuki,Alto,VXL,2017,Grey,NPVZJM9XHZ73V4AGB,NEB7BGJFK7J,2017-07-19,123160,,Zainba Qureshi,"House 235, Street 5, Bahria Town, Rawalpindi","House 339, Street 5, University Town, Peshawar",2600000
PCK-582,800,Suzuki,Mehran,VX,2024,Black,HUY3PPDGF7V4XTZJ8,29611F5H8KG,2024-07-03,120316,,Kamran Mir,"House 868, Street 7, Shah Rukn-e-Alam, Multan","House 570, Street 24, Hayatabad, Peshawar",900000
CHP-396,1300,Suzuki,Swift,GLX,2021,Red,KJYF7D2TF294JJ7N8,N64G3592HHC,2021-08-29,281533,611013-0974395-2,Iqra hKan,"House 786, Street 43, F-8, Islamabad","House 100, Street 58, Cantt, Multan",4500000
FRN-167,660,Suzuki,Alto,VXL,2022,Blue,P44YSME8H6XG5MW2E,5D75NL167BC,2022-02-22,134905,352021-9899552-6,Noor Warraich,"House 816, Street 18, Bahria Town, Lahore","House 361, Street 33, F-7, Islamabad",2600000
HGK-683,1000,Suzuki,WagonR,VXL,2022,Red,DYAG438VC82898RDB,P4L3CJ6P1D1,2022-07-25,305674,173017-6887676-7,M. Sheikh,"House 815, Street 49, University Town, Peshawar","House 34, Street 18, DHA Phase 6, Karachi",3100000
BNJ-606,1300,Toyota,Corolla,GLi,2021,Red,ZVXDBCJ0ZBY1G4ZZ3,MB7HHH6K4C8,2021-09-06,216287,173013-8373540-3,Usman Warraich,"House 491, Street 59, University Town, Peshawar","House 619, Street 46, Gulgasht Colony, Multan",5800000
DER-338,1000,Kia,Picanto,AT,2024,Blue,Z5NB1ZJTC85V8NMZX,90J53FC2E0K,2024-11-15,354854,363028-1317127-5,Saad Rana,"House 484, Street 16, Model Town, Multan","House 149, Street 25, Madina Town, Faisalabad",3400000
QKQ-581,2000,Kia,Sportage,AWD,2017,Grey,RKT02MYX68BE7HZ76,FKM54E2DN8D,2017-02-02,462934,611015-5218188-2,Nimra Raaj,"House 661, Street 53, F-8, Islamabad","House 106, Street 10, Model Town, Lahore",11500000
AGK-360,1300,Toyota,Corolla,GLi,2018,Silver,WW9XAHYY2BMNYY77C,6E1E603L0P9,2018-05-19,213207,611014-1476797-7,Bilal Malik,"House 354, Street 28, F-7, Islamabad","House 695, Street 44, North Nazimabad, Karachi",5800000
KJN-377,2800,Toyota,Fortuner,Sigma,2023,Beige,053LMBJSTFPL2GGE7,3BAN2CDJ5EC,2023-04-28,878382,352029-1671902-3,Faizan Satti,"House 122, Street 36, Wapda Town, Lahore","House 621, Street 39, DHA-I, Rawalpindi",22000000
QPA-351,800,Suzuki,Mehran,VX,2018,Beige,YV9LFU030SK3RJ433,027MA0EA82C,2018-04-06,136955,421016-5367294-7,Fahad Qureshi,"House 902, Street 50, Clifton, Karachi","House 528, Street 48, Chaklala Scheme 3, Rawalpindi",900000
MPM-149,660,Suzuki,Alto,VXL,2019,Pearl White,VE9NMGLXXWU0GZKAJ,2KM1PLFDGE2,2019-01-21,135483,374059-3918785-0,Aqsa Sheikh,"House 925, Street 33, Satellite Town, Rawalpindi","House 550, Street 10, Madina Town, Faisalabad",2600000
NHC-834,660,Suzuki,Alto,VXL,2019,Silver,YUE74PZEW9W4XN32T,52073FA682F,2019-05-02,194179,173013-8373540-3,Usman Warraich,"House 491, Street 59, University Town, Peshawar","House 619, Street 46, Gulgasht Colony, Multan",2600000
QBD-858,2800,Toyota,Fortuner,Sigma,2022,White,MLB89HES5X3NXRHXR,DH9PGNHC141,2022-12-01,458037,363028-1727155-0,Amna Butt,"House 872, Street 11, Gulgasht Colony, Multan","House 371, Street 33, University Town, Peshawar",22000000
REA-485,1500,Honda,City,Aspire,2022,White,TLDVNUD6AE1U0GBV1,HN28DL153CF,2022-02-25,299578,363024-6232858-9,Ali Raja,"House 967, Street 31, Shah Rukn-e-Alam, Multan","House 892, Street 22, Cantt, Multan",6000000
LMP-882,2800,Toyota,Fortuner,Sigma,2022,Red,XSP1T0552ACVBJWAW,HGLA8J32344,2022-03-03,528300,,Mohammed Abdullah Mughal,"House 635, Street 44, F-10, Islamabad","House 935, Street 38, Satellite Town, Rawalpindi",22000000
DLA-391,1000,Suzuki,WagonR,VXL,2023,Silver,20GXKBF676UAYC5XJ,GB6KLB9C35N,2023-08-04,173137,611014-8398262-3,M. Kamran Cheema,"House 65, Street 11, G-11, Islamabad","House 432, Street 20, PECHS, Karachi",3100000
LBQ-773,800,Suzuki,Mehran,VX,2022,Red,93UB7BX11XG8GPY89,7LF5KMPG16C,2022-01-14,288076,173013-8373540-3,Usman Warraich,"House 491, Street 59, University Town, Peshawar","House 619, Street 46, Gulgasht Colony, Multan",900000
MLP-272,1300,Suzuki,Swift,GLX,2022,White,XSR4U0JY765ZW8GMF,JE3GJ96C9CA,2022-05-05,471115,331004-0598262-1,Muhammad Hassan Awan,"House 41, Street 58, Peoples Colony, Faisalabad","House 699, Street 16, Cantt, Lahore",4500000
KQE-234,1300,Toyota,Yaris,ATIV,2024,Black,BCZX76U5JM64WZ7RF,0KMPJEKAA2E,2024-04-09,306762,352029-1671902-3,Faizan Satti,"House 122, Street 36, Wapda Town, Lahore","House 621, Street 39, DHA-I, Rawalpindi",5200000
NDA-756,2800,Toyota,Fortuner,Sigma,2016,Silver,CEZ9GVWFV512B7LRJ,9N3K6EK796M,2016-03-10,1090174,,Ali Janjua,"House 827, Street 42, DHA-I, Rawalpindi","House 684, Street 53, Bahria Town, Islamabad",22000000
NFN-663,1500,MG,HS,Essence,2023,Red,CLYKLKMD3WW5VMHJN,A5JA0113A51,2023-12-07,314204,374055-7661565-4,Sadia Mir,"House 69, Street 6, Bahria Town, Rawalpindi","House 443, Street 7, G-10, Islamabad",9000000
BDJ-592,660,Suzuki,Alto,VXL,2023,Pearl White,N0DPHS4XALUH2SAC7,85EMCHF1C75,2023-01-21,154839,611017-8760385-8,Aereba Khan,"House 274, Street 36, F-8, Islamabad","House 449, Street 57, Bahadurabad, Karachi",2600000
MCE-387,1300,Toyota,Corolla,GLi,2019,White,Y1L1MHWXCU3F8S05W,G2KFDMBGC02,2019-09-20,203103,352020-3432445-0,Komal Malik,"House 133, Street 25, Bahria Town, Lahore","House 236, Street 33, Shah Rukn-e-Alam, Multan",5800000
NGR-884,1000,Suzuki,Cultus,VXL,2023,Black,VX3XHGECJMCNG8NGC,46N712584JB,2023-05-20,241588,421017-2702895-0,Kiran Dar,"House 16, Street 47, DHA Phase 6, Karachi","House 892, Street 42, Satellite Town, Rawalpindi",3500000
PLP-997,1000,Suzuki,WagonR,VXL,2024,Silver,LT9EZ3X6BDM5JA2NW,L4CDFH286E5,2024-04-06,321438,173011-3398454-7,Hassan Janjua,"House 250, Street 45, University Town, Peshawar","House 701, Street 53, Clifton, Karachi",3100000
BRA-156,1300,Suzuki,Swift,GLX,2017,Silver,XWE30F2JSH9HT8FSH,LL49N99HPGE,2017-12-21,229714,352022-8547772-4,Hina Qureshi,"House 189, Street 59, Bahria Town, Lahore","House 981, Street 4, Cantt, Multan",4500000
EBK-529,660,Suzuki,Alto,VXL,2023,Red,WXZAUK25P5Z2NWFCY,N999E23KGC2,2023-05-28,190044,331007-7518636-3,Bilwaal Cheema,"House 346, Street 36, Madina Town, Faisalabad","House 873, Street 32, Peoples Colony, Faisalabad",2600000
PGP-817,660,Suzuki,Alto,VXL,2021,Blue,02U5MJRGUS41NKK7A,FP1E6239L1K,2021-08-04,140410,421011-8557444-3,Tariq Mughal,"House 549, Street 49, Bahadurabad, Karachi","House 197, Street 14, Cantt, Lahore",2600000
GLM-708,3500,Toyota,Land Cruiser,ZX,2019,White,WLZ5K5CRN0KFHDSKV,AL8DK01ALG9,2019-11-27,995754,363024-6232858-9,Ali Raja,"House 967, Street 31, Shah Rukn-e-Alam, Multan","House 892, Street 22, Cantt, Multan",75000000
ELG-882,1300,Suzuki,Swift,GLX,2022,White,MYEHUK3L0L5SCJG1L,A1CAAFC864K,2022-02-13,330272,331004-7192856-5,Nauamn Mughal,"House 191, Street 32, Jaranwala Road, Faisalabad","House 121, Street 17, Peoples Colony, Faisalabad",4500000
BDA-149,660,Suzuki,Alto,VXL,2022,Silver,351HT7KPAW3GUJ3G9,95DKDD1G5GJ,2022-08-29,236197,363023-0564139-5,Umar Malik,"House 659, Street 30, Gulgasht Colony, Multan","House 143, Street 16, Bahadurabad, Karachi",2600000
NKN-787,1000,Suzuki,Cultus,VXL,2021,Blue,JCMTL98Y6JFX4KTHX,BE1J9MPKJ5J,2021-08-28,279243,421012-4773586-6,Rabia Khan,"House 303, Street 52, DHA Phase 6, Karachi","House 76, Street 6, Shah Rukn-e-Alam, Multan",3500000
BAN-650,1300,Suzuki,Swift,GLX,2017,Silver,WPZP39KLMRTNHMD6E,K7CJDG941LM,2017-05-19,236669,374058-2513542-7,Ali Janjua,"House 827, Street 42, DHA-I, Rawalpindi","House 684, Street 53, Bahria Town, Islamabad",4500000
GBJ-656,2700,Toyota,Prado,TX,2024,Beige,K02RVJ699F209ASL9,E0FF447E991,2024-08-16,1038943,,Muhammad Hassan Awan,"House 41, Street 58, Peoples Colony, Faisalabad","House 699, Street 16, Cantt, Lahore",45000000
DKR-920,1300,Toyota,Corolla,GLi,2017,Red,WJZG09N8517U4F40M,P6PCB2L07H6,2017-09-23,418026,331007-1939828-1,Zain Dar,"House 852, Street 45, D Ground, Faisalabad","House 869, Street 51, Gulbahar, Peshawar",5800000
AAC-112,2800,Toyota,Fortuner,Sigma,2022,Red,GG5ZRVTNCBFDPHHFJ,N764FD8FJK0,2022-02-21,882334,,Fahad Butt,"House 425, Street 4, Jaranwala Road, Faisalabad","House 383, Street 16, Jaranwala Road, Faisalabad",22000000
HLD-543,1500,MG,HS,Essence,2024,Grey,7Z1KDAL978LE8XSYU,B2H36NNHC00,2024-08-09,525472,374055-2814893-3,Danish Bhatti,"House 945, Street 34, Bahria Town, Rawalpindi","House 332, Street 32, D Ground, Faisalabad",9000000
KHA-661,1000,Suzuki,WagonR,VXL,2024,Blue,N342SL11RTF4SUVU3,GCFEKD6050J,2024-12-12,325118,374051-9909133-5,Bilawal Mir,"House 77, Street 11, Bahria Town, Rawalpindi","House 462, Street 45, DHA-I, Rawalpindi",3100000
QJL-992,2000,Kia,Sportage,AWD,2024,Black,PMFTG4BA2HAL7628W,55M8787NKCE,2024-06-29,367556,421018-7979688-7,Fahad Dar,"House 719, Street 58, North Nazimabad, Karachi","House 654, Street 59, D Ground, Faisalabad",11500000
EAC-763,1300,Toyota,Corolla,GLi,2017,White,K84JFJ364M69451ZR,FP5A419H82J,2017-05-29,328522,421012-6291486-5,Farhan Mughal,"House 434, Street 33, Gulshan-e-Iqbal, Karachi","House 372, Street 20, F-8, Islamabad",5800000
KAD-901,660,Suzuki,Alto,VXL,2016,Silver,PNMZBFKUZZL9S9EGA,2G8GKF3A9DG,2016-09-28,250878,363020-7072867-9,Fahad Cheema,"House 741, Street 2, Model Town, Multan","House 837, Street 1, Bahadurabad, Karachi",2600000
PDH-223,1000,Suzuki,Cultus,VXL,2019,Grey,8TYZCUK9GD56HGGC9,DF6DGMF9K80,2019-10-15,340491,173018-3309584-8,Hira Sandhu,"House 300, Street 19, Cantt, Peshawar","House 527, Street 58, Hayatabad, Peshawar",3500000
FBR-312,1500,Honda,BR-V,S,2019,Beige,YSAAFH8KF9EGTR6VT,0BDFBKM7LP9,2019-04-24,268462,363023-0564139-5,Umar Malik,"House 659, Street 30, Gulgasht Colony, Multan","House 143, Street 16, Bahadurabad, Karachi",6500000
RCQ-920,1800,Toyota,Corolla,Altis,2023,White,030DUCEWEPGGR1NNS,46F393P9D64,2023-05-09,431083,421017-2702895-0,Krian Dar,"House 16, Street 47, DHA Phase 6, Karachi","House 892, Street 42, Satellite Town, Rawalpindi",7200000
KGC-524,2800,Toyota,Fortuner,Sigma,2024,Blue,M21RBBRF6NTLD24TK,CMF4DA82P07,2024-12-18,765904,331000-2176591-8,Fatima Tarar,"House 709, Street 57, Jaranwala Road, Faisalabad","House 48, Street 60, Clifton, Karachi",22000000
NAR-589,1300,Toyota,Corolla,GLi,2019,Red,2ERA17HZYW2DF0YF6,K6GF3BN7GK8,2019-09-12,321784,374054-7990893-2,Maryam Butt,"House 247, Street 37, Westridge, Rawalpindi","House 681, Street 43, DHA Phase 5, Lahore",5800000
PDL-226,1300,Suzuki,Swift,GLX,2018,Beige,HJ80VCFX8H1V6W5R3,KPGC17MFA71,2018-07-21,413431,331003-0478686-3,Danish Khan,"House 194, Street 60, D Ground, Faisalabad","House 829, Street 43, G-11, Islamabad",4500000
NMN-515,1500,Honda,City,Aspire,2024,Grey,AEFVZZURN62ATM39G,3C2KLD2J34J,2024-09-28,485321,374055-7204653-7,Ali Awan,"House 285, Street 49, Westridge, Rawalpindi","House 855, Street 6, PECHS, Karachi",6000000
DQL-366,1500,Honda,City,Aspire,2021,Blue,0TZB3HZNMVZX985F1,5K06EF6LP65,2021-05-05,439364,331000-5240824-1,Hassan Gondal,"House 654, Street 56, Jaranwala Road, Faisalabad","House 894, Street 1, DHA-II, Islamabad",6000000
HNH-623,1300,Suzuki,Swift,GLX,2023,Pearl White,D113XDATN5R0NNV5M,7CFF92DNBPJ,2023-07-29,375894,363027-6411656-6,Sadia Satti,"House 662, Street 7, Cantt, Multan","House 746, Street 22, Bahria Town, Rawalpindi",4500000
MQR-144,1500,MG,HS,Essence,2024,Pearl White,NX9FGLAEPP4GP4EKB,08LBCCBFJ3C,2024-08-21,440610,611019-9399091-7,Nauman Dar,"House 210, Street 43, G-10, Islamabad","House 272, Street 26, Gulberg III, Lahore",9000000
HLQ-234,1300,Toyota,Yaris,ATIV,2021,Pearl White,1307LPVF7JMNL8G38,KHG3BAMJM7F,2021-09-10,251782,173018-3309584-8,Hira Sandhu,"House 300, Street 19, Cantt, Peshawar","House 527, Street 58, Hayatabad, Peshawar",5200000
LFD-510,1000,Suzuki,Cultus,VXL,2020,Red,6U173LHJDLG375M1Z,5A79E11DP0B,2020-03-06,165834,374055-2814893-3,Danish Bhatti,"House 945, Street 34, Bahria Town, Rawalpindi","House 332, Street 32, D Ground, Faisalabad",3500000
RNF-118,1500,Honda,Civic,Oriel,2019,Blue,ZZWS9UDT1BURKY2JF,9N27567HPH4,2019-09-28,282280,173019-6048175-4,Aqsa Mughal,"House 111, Street 44, University Town, Peshawar","House 26, Street 40, DHA-I, Rawalpindi",9500000
KRB-942,660,Suzuki,Alto,VXL,2020,Pearl White,W86RBAKTW7HV3M8SB,DJ1C59M414P,2020-04-12,242277,173014-4004991-4,Sidra Chaudhry,"House 506, Street 57, University Town, Peshawar","House 517, Street 30, Cantt, Peshawar",2600000
GRL-717,1500,MG,HS,Essence,2020,White,02K4010AVZZW5FP53,0KF9P9PE45C,2020-06-03,278864,331007-8434437-4,Amna Qureshi,"House 815, Street 47, Peoples Colony, Faisalabad","House 125, Street 37, Bahadurabad, Karachi",9000000
MHB-784,1000,Suzuki,Cultus,VXL,2018,Grey,0176CCXGUTM110ET1,H2NMM115A2E,2018-12-18,259974,331004-0598262-1,Hassan Awan,"House 41, Street 58, Peoples Colony, Faisalabad","House 699, Street 16, Cantt, Lahore",3500000
CEJ-576,2000,Hyundai,Tucson,Ultimate,2023,Silver,FS7EWDYA7697Y3ZVV,FB859K94JB6,2023-09-29,536580,352022-8805929-7,Md. Hussain Butt,"House 790, Street 40, Wapda Town, Lahore","House 739, Street 29, DHA Phase 5, Lahore",10500000
JMD-148,800,Suzuki,Mehran,VX,2020,Silver,5WA6YSRZWVJ1SGXN0,0DE8PPCCBPE,2020-03-07,215250,611017-8700516-3,M. Tariq Warraich,"House 749, Street 52, F-7, Islamabad","House 321, Street 24, G-9, Islamabad",900000
DGM-662,1000,Kia,Picanto,AT,2021,Blue,UKVSLEWY5DJB7DG1D,CPNF8546880,2021-10-06,304078,374055-6966416-1,Adnan Raja,"House 472, Street 54, Chaklala Scheme 3, Rawalpindi","House 448, Street 55, F-7, Islamabad",3400000
RNE-541,1500,Honda,City,Aspire,2019,Grey,PVN3M3KBVTS5S06FA,1EL8N7G8N8P,2019-03-25,501039,331000-2176591-8,Fatima Tarar,"House 709, Street 57, Jaranwala Road, Faisalabad","House 48, Street 60, Clifton, Karachi",6000000
DRA-205,2000,Kia,Sportage,AWD,2019,Red,3CAFW9P6Y0DR6Y705,DD7HALM6K32,2019-07-18,486945,384055-2814893-3,Danish Bhatti,"House 945, Street 34, Bahria Town, Rawalpindi","House 332, Street 32, D Ground, Faisalabad",11500000
HFB-710,2000,Kia,Sportage,AWD,2020,Black,8FWZ3ASNHG09R6PUD,GDE711FF7BB,2020-08-14,622430,363028-1727155-0,Amna Butt,"House 872, Street 11, Gulgasht Colony, Multan","House 371, Street 33, University Town, Peshawar",11500000
BGM-573,1300,Toyota,Corolla,GLi,2023,Black,SKW43XEP3UVLTS2SH,EGAHK013PP6,2023-01-11,489338,173015-4458771-7,Asad Tarar,"House 47, Street 37, University Town, Peshawar","House 150, Street 2, Shah Rukn-e-Alam, Multan",5800000
RGL-530,660,Suzuki,Alto,VXL,2016,Pearl White,806CYFKDU2E7MNT1A,D8HN0H9BG09,2016-03-01,226214,331001-6717565-4,Iqra Chaudhry,"House 508, Street 19, Jaranwala Road, Faisalabad","House 779, Street 36, Hayatabad, Peshawar",2600000
DHP-930,660,Suzuki,Alto,VXL,2020,Blue,H777PL3BSCJLJ9CKD,FJF2N546A99,2020-01-23,208187,331006-0256342-1,Hamza Chaudhry,"House 837, Street 59, Jaranwala Road, Faisalabad","House 313, Street 53, DHA Phase 6, Karachi",2600000
EAL-762,2000,Kia,Sportage,AWD,2019,Pearl White,7VK5YH7CJHWB2R5ZF,LB56G42HJGA,2019-08-04,341794,331007-8434437-4,Aman Qureshi,"House 815, Street 47, Peoples Colony, Faisalabad","House 125, Street 37, Bahadurabad, Karachi",11500000
NFK-178,800,Suzuki,Mehran,VX,2016,Silver,LUHK8KPBV3J7Z35BV,GCAH26LP4L6,2016-11-24,249210,173019-9825952-6,Areeba Abbasi,"House 849, Street 33, Gulbahar, Peshawar","House 577, Street 20, Model Town, Multan",900000
RKE-230,1000,Suzuki,Cultus,VXL,2024,Pearl White,S4VDEC9G943G6TZTF,2AD970FFNBC,2024-12-27,254062,421018-7979688-7,Fahad Dar,"House 719, Street 58, North Nazimabad, Karachi","House 654, Street 59, D Ground, Faisalabad",3500000
BLB-515,800,Suzuki,Mehran,VX,2019,Silver,P6KRECK8B7CSJAMDW,D05F4CDD155,2019-10-21,164114,374050-6401658-3,Danish Mughal,"House 449, Street 3, Satellite Town, Rawalpindi","House 242, Street 50, G-10, Islamabad",900000
BHF-136,660,Suzuki,Alto,VXL,2017,Beige,TL64H8C5Z868HKHZF,GKFF92J474G,2017-08-31,195285,363021-1047541-2,Rabia Mughal,"House 569, Street 33, Model Town, Multan","House 27, Street 6, G-10, Islamabad",2600000
EFJ-271,660,Suzuki,Alto,VXL,2020,Blue,6ER11JGBN93KGM7C9,DC17E53A76P,2020-08-09,185137,421019-8685014-3,M. Bilawal Bhatti,"House 445, Street 23, Bahadurabad, Karachi","House 322, Street 28, Hayatabad, Peshawar",2600000
QBM-475,2700,Toyota,Prado,TX,2020,Black,EPJYSH7PRXZU94UDE,MM0122D1837,2020-02-06,962130,421015-8499121-7,Ali Abbasi,"House 774, Street 10, DHA Phase 6, Karachi","House 522, Street 26, D Ground, Faisalabad",45000000
DHQ-901,660,Suzuki,Alto,VXL,2023,Black,GP92YDL1AFK74FETR,MC5B9NN562K,2023-05-24,216414,352026-9176936-7,Muhammad Hussain Qureshi,"House 6, Street 58, Wapda Town, Lahore","House 789, Street 57, Hayatabad, Peshawar",2600000
ARD-364,2000,Kia,Sportage,AWD,2022,Silver,1RRX3ZATSVF2YEM7X,MG4JF97G19G,2022-07-31,417430,352027-0330923-3,Salman Malik,"House 477, Street 45, Model Town, Lahore","House 378, Street 11, Hayatabad, Peshawar",11500000
RCE-617,800,Suzuki,Mehran,VX,2019,Silver,UTJUUTAHMK50MTS8M,2BLCE5E1PNH,2019-03-20,252133,352022-8805929-7,Md. Hussain Butt,"House 790, Street 40, Wapda Town, Lahore","House 739, Street 29, DHA Phase 5, Lahore",900000
BJE-213,660,Suzuki,Alto,VXL,2016,Beige,63LYRVLLRF38P76UA,9P9HHLP4H4E,2016-05-11,249769,352029-2992299-5,Waqas Janjua,"House 972, Street 42, Wapda Town, Lahore","House 272, Street 42, Madina Town, Faisalabad",2600000
CJB-491,660,Suzuki,Alto,VXL,2024,Red,YDTTM5E8N2M8GK4PG,08JDBCC49J0,2024-10-02,102096,611014-7277901-1,Mhuammad Abdullah Malik,"House 745, Street 39, Bahria Town, Islamabad","House 114, Street 50, Chaklala Scheme 3, Rawalpindi",2600000
