consumer_id,customer_name,customer_cnic,service_address,disco,meter_number,tariff_type,sanctioned_load_kw,units_consumed,bill_amount,billing_month,due_date
10339937886140,M. Salman Cheema,,"House 960, Street 44, F-7, Islamabad",IESCO,0630489138,Domestic,3,378,16634,2024-05,2024-06-15
52308370816470,Faizan Satti,,"House 122, Street 36, Wapda Town, Lahore",LESCO,6335331060,Commercial,5,3619,110775,2024-05,2024-06-15
05510762091843,Iqra Khan,611013-0974395-2,"House 786, Street 43, F-8, Islamabad",IESCO,7863050505,Domestic,3,584,20109,2024-05,2024-06-15
20236848557161,Asad Malik,173011-6540515-3,"House 560, Street 22, University Town, Peshawar",PESCO,8029424090,Domestic,15,227,7135,2024-05,2024-06-15
70580256621286,Kamran Janjua,,"House 462, Street 16, Model Town, Multan",MEPCO,3234672994,Domestic,10,202,7456,2024-05,2024-06-15
68118071569562,Danish Bhatti,374055-2814893-3,"House 945, Street 34, Bahria Town, Rawalpindi",IESCO,0175370304,Domestic,15,5380,195361,2024-05,2024-06-15
03248413768151,Tariq Mugahl,421011-8557444-3,"House 549, Street 49, Bahadurabad, Karachi",K-Electric,5672438070,Domestic,15,318,9420,2024-05,2024-06-15
38909728321528,Ali Cheema,,"House 514, Street 10, Clifton, Karachi",K-Electric,7625153814,Domestic,5,617,25139,2024-05,2024-06-15
20967904227113,Muhammad Saad Cheema,173014-7473384-9,"House 601, Street 16, University Town, Peshawar",PESCO,2288985725,Domestic,10,779,28462,2024-05,2024-06-15
49127113072407,Muhammad Zain Dar,331007-1939828-1,"House 852, Street 45, D Ground, Faisalabad",FESCO,1815632686,Domestic,2,496,17455,2024-05,2024-06-15
33629344973471,Areeba Khan,611017-8760385-8,"House 274, Street 36, F-8, Islamabad",IESCO,6277689627,Domestic,7,170,5660,2024-05,2024-06-15
97585988310303,Mohammed Gondal,331000-5022961-3,"House 386, Street 27, Jaranwala Road, Faisalabad",FESCO,9839542961,Domestic,5,550,19560,2024-05,2024-06-15
96792408222694,Adnan Raja,374055-6966416-1,"House 472, Street 54, Chaklala Scheme 3, Rawalpindi",IESCO,5396727578,Domestic,7,2288,84744,2024-05,2024-06-15
11082555989534,Maryam Butt,374054-7980893-2,"House 247, Street 37, Westridge, Rawalpindi",IESCO,1291093371,Domestic,10,885,29809,2024-05,2024-06-15
61367157787112,Muhammad Zain Warraich,374056-4530174-3,"House 707, Street 8, Chaklala Scheme 3, Rawalpindi",IESCO,3651559737,Domestic,7,453,13902,2024-05,2024-06-15
61284639855474,Hussain Cheema,421016-0122691-7,"House 567, Street 56, Clifton, Karachi",K-Electric,5379502097,Domestic,2,339,11224,2024-05,2024-06-15
66395517208496,Fatima Tarar,331000-2176591-8,"House 709, Street 57, Jaranwala Road, Faisalabad",FESCO,8560125625,Domestic,3,1552,46293,2024-05,2024-06-15
63436294897861,Fahad aDr,421018-7979688-7,"House 719, Street 58, North Nazimabad, Karachi",K-Electric,1310094318,Domestic,3,5156,177896,2024-05,2024-06-15
09579073710094,Muhammad Danish Chaudhry,363022-2586736-3,"House 629, Street 57, Gulgasht Colony, Multan",MEPCO,2211457758,Domestic,7,195,6025,2024-05,2024-06-15
46283143598926,Bilal Malik,611014-1476797-7,"House 354, Street 28, F-7, Islamabad",IESCO,6609314181,Domestic,7,483,14207,2024-05,2024-06-15
36004125777118,Hassan Gnodal,331000-5240824-2,"House 654, Street 56, Jaranwala Road, Faisalabad",FESCO,4220912418,Domestic,3,1603,55766,2024-05,2024-06-15
86462252237281,Saba Cheema,331001-5865780-8,"House 295, Street 15, D Ground, Faisalabad",FESCO,2302346791,Commercial,3,449,17886,2024-05,2024-06-15
59096056730306,Aqsa Sheikh,374059-3918785-0,"House 925, Street 33, Satellite Town, Rawalpindi",IESCO,1214614768,Domestic,5,1862,72401,2024-05,2024-06-15
23401636112849,Komal Malik,352020-3432445-0,"House 133, Street 25, Bahria Town, Lahore",LESCO,8594849102,Domestic,7,313,12904,2024-05,2024-06-15
48253110609209,Asda Tarar,173015-4458771-7,"House 47, Street 37, University Town, Peshawar",PESCO,0275233438,Domestic,15,279,11531,2024-05,2024-06-15
67164932898027,Ali Raja,363024-6232858-9,"House 967, Street 31, Shah Rukn-e-Alam, Multan",MEPCO,8727178333,Domestic,15,2154,63291,2024-05,2024-06-15
47323549401289,Maryam Butt,421015-2545738-6,"House 714, Street 29, Gulshan-e-Iqbal, Karachi",K-Electric,3251225720,Domestic,7,253,8029,2024-05,2024-06-15
42403381059551,Kiran Raja,374056-7758416-0,"House 106, Street 6, Chaklala Scheme 3, Rawalpindi",IESCO,4269450053,Domestic,5,286,11117,2024-05,2024-06-15
71693859777901,Imran Raja,374056-9480831-3,"House 708, Street 31, Westridge, Rawalpindi",IESCO,7546926329,Domestic,7,541,24263,2024-05,2024-06-15
90362891775662,Md. Adnan Awan,352023-3689702-9,"House 386, Street 21, Gulberg III, Lahore",LESCO,3411159503,Domestic,10,886,27999,2024-05,2024-06-15
56434712871539,Aqas Mughal,173019-6048175-4,"House 111, Street 44, University Town, Peshawar",PESCO,6686334141,Domestic,5,2365,72662,2024-05,2024-06-15
48079705097545,Noor Janjua,352029-9255466-4,"House 343, Street 5, Model Town, Lahore",LESCO,2650167318,Domestic,3,777,26955,2024-05,2024-06-15
35670860414545,Muhammad Abdullah Malik,611014-7277901-1,"House 745, Street 39, Bahria Town, Islamabad",IESCO,0200053474,Commercial,2,556,24832,2024-05,2024-06-15
38303419909700,Amna Qureshi,331007-8434437-4,"House 815, Street 47, Peoples Colony, Faisalabad",FESCO,0546835652,Domestic,2,922,40074,2024-05,2024-06-15
29439852989406,Mohammad Tariq Warraich,611017-8700516-3,"House 749, Street 52, F-7, Islamabad",IESCO,8701041591,Domestic,10,383,13464,2024-05,2024-06-15
85931109193928,Hassan Awan,421014-4935348-7,"House 850, Street 18, Clifton, Karachi",K-Electric,9723200249,Domestic,15,880,25028,2024-05,2024-06-15
43765456284177,Farhan Mughal,421012-6291486-5,"House 434, Street 33, Gulshan-e-Iqbal, Karachi",K-Electric,6053134026,Domestic,5,649,26661,2024-05,2024-06-15
72018596263013,Hussain Janjua,421018-1775891-7,"House 803, Street 59, Bahadurabad, Karachi",K-Electric,9261764750,Domestic,2,193,6570,2024-05,2024-06-15
51276528928664,Nimra Bhatti,352026-8926870-4,"House 419, Street 10, Model Town, Lahore",LESCO,6491111096,Domestic,15,580,21398,2024-05,2024-06-15
60856411182422,Fahad Bhatti,,"House 550, Street 8, Gulbahar, Peshawar",PESCO,4620952004,Domestic,5,841,29796,2024-05,2024-06-15
44386125904729,Ali Rana,173012-9335290-5,"House 179, Street 8, Hayatabad, Peshawar",PESCO,4233305912,Domestic,7,239,6983,2024-05,2024-06-15
12070496110804,Ali Janjua,374058-2513542-7,"House 827, Street 42, DHA-I, Rawalpindi",IESCO,9639907676,Commercial,10,4045,134802,2024-05,2024-06-15
03091436391025,Iqra Janjua,363024-7719065-8,"House 691, Street 54, Cantt, Multan",MEPCO,6303975245,Domestic,2,313,11889,2024-05,2024-06-15
81278686694320,Fatima Gondal,363027-0305486-8,"House 196, Street 19, Shah Rukn-e-Alam, Multan",MEPCO,0878844344,Domestic,3,603,22342,2024-05,2024-06-15
14651113129014,Nimra Raja,611015-5218188-2,"House 661, Street 53, F-8, Islamabad",IESCO,0682778816,Domestic,3,3750,145521,2024-05,2024-06-15
65004254882142,Muhammad Farhan Rana,331003-5807836-1,"House 357, Street 56, D Ground, Faisalabad",FESCO,9143075366,Domestic,2,301,9992,2024-05,2024-06-15
36687887883619,Sadia Shekih,331008-5004797-4,"House 904, Street 17, Peoples Colony, Faisalabad",FESCO,3135030587,Commercial,2,312,13743,2024-05,2024-06-15
31292087510293,Sdaia Mir,374055-7661565-4,"House 69, Street 6, Bahria Town, Rawalpindi",IESCO,0118458260,Domestic,2,2234,91168,2024-05,2024-06-15
25895529638639,Usman Warraich,173013-8373540-3,"House 491, Street 59, University Town, Peshawar",PESCO,9626265826,Domestic,15,2633,74419,2024-05,2024-06-15
07895677665754,Mohammed Junaid Butt,374058-2788957-9,"House 163, Street 48, Westridge, Rawalpindi",IESCO,4151488814,Commercial,2,225,7180,2024-05,2024-06-15
09377100409013,Abdullah Mughal,,"House 635, Street 44, F-10, Islamabad",IESCO,9847759655,Domestic,5,1155,33601,2024-05,2024-06-15
39912971024817,Sidra Chaudhry,173014-4004991-4,"House 506, Street 57, University Town, Peshawar",PESCO,4214955112,Domestic,7,764,26426,2024-05,2024-06-15
16787256862110,Salman Abbasi,374057-8347359-7,"House 541, Street 27, Satellite Town, Rawalpindi",IESCO,0305690674,Domestic,2,200,8941,2024-05,2024-06-15
74954508920388,Muhammad Hassan Awan,331004-0598262-1,"House 41, Street 58, Peoples Colony, Faisalabad",FESCO,3331537795,Commercial,10,5676,172979,2024-05,2024-06-15
82467474689715,Saad Rana,363028-1317127-5,"House 484, Street 16, Model Town, Multan",MEPCO,2300857666,Commercial,5,1514,56218,2024-05,2024-06-15
91649837354396,Danish Mughal,374050-6401658-3,"House 449, Street 3, Satellite Town, Rawalpindi",IESCO,6527172722,Domestic,7,408,18212,2024-05,2024-06-15
95963904090742,Rabia Khan,421012-4773586-6,"House 303, Street 52, DHA Phase 6, Karachi",K-Electric,8805017164,Domestic,5,615,21953,2024-05,2024-06-15
98591679541072,Sheikh,173017-6887676-7,"House 815, Street 49, University Town, Peshawar",PESCO,4982474140,Domestic,3,883,27584,2024-05,2024-06-15
50537953816493,Warraich,353028-6142939-7,"House 144, Street 51, Cantt, Lahore",LESCO,9196655330,Domestic,7,474,14257,2024-05,2024-06-15
07279103368296,Danish Khan,331003-0478686-3,"House 194, Street 60, D Ground, Faisalabad",FESCO,3905504481,Domestic,15,398,14667,2024-05,2024-06-15
24473158477686,Hassan Janjua,173011-3398454-7,"House 250, Street 45, University Town, Peshawar",PESCO,3461994237,Domestic,7,415,13170,2024-05,2024-06-15
16691836264488,Kira nDar,421017-2702895-0,"House 16, Street 47, DHA Phase 6, Karachi",K-Electric,6119524364,Domestic,3,1230,36880,2024-05,2024-06-15
34143637189239,Fahad Butt,431003-1247826-1,"House 425, Street 4, Jaranwala Road, Faisalabad",FESCO,2604326093,Domestic,2,1212,44469,2024-05,2024-06-15
32582386870079,Umar Malik,363023-0564139-5,"House 659, Street 30, Gulgasht Colony, Multan",MEPCO,0074946539,Domestic,5,1071,41563,2024-05,2024-06-15
69312163761820,Amna Butt,363028-1727155-0,"House 872, Street 11, Gulgasht Colony, Multan",MEPCO,0100231429,Domestic,2,1535,66080,2024-05,2024-06-15
42583230241026,Ayseha Janjua,611011-8356159-4,"House 419, Street 21, G-11, Islamabad",IESCO,3473552896,Commercial,2,157,4860,2024-05,2024-06-15
92342683441497,Bilawal Cheema,331007-7518636-3,"House 346, Street 36, Madina Town, Faisalabad",FESCO,6128758575,Domestic,7,1792,76860,2024-05,2024-06-15
01692364587506,Muhammad Umar Gondal,421015-9972787-5,"House 330, Street 56, DHA Phase 6, Karachi",K-Electric,3705024972,Domestic,10,728,25443,2024-05,2024-06-15
07303379337563,Mohammad Bilawal Bhatti,421019-8685014-3,"House 445, Street 23, Bahadurabad, Karachi",K-Electric,1508124739,Commercial,5,257,9180,2024-05,2024-06-15
96422971252967,Muhammad Kamran Cehema,611014-8398262-3,"House 65, Street 11, G-11, Islamabad",IESCO,9774573144,Domestic,5,555,18647,2024-05,2024-06-15
89714802632570,M. Farhan Rana,173015-5537147-9,"House 117, Street 23, Cantt, Peshawar",PESCO,1361487824,Commercial,5,267,10699,2024-05,2024-06-15
41209117911244,Hina Qureshi,,"House 189, Street 59, Bahria Town, Lahore",LESCO,7536170617,Commercial,2,593,23249,2024-05,2024-06-15
90463378613715,Abdullah Malik,173013-6688263-5,"House 461, Street 55, Cantt, Peshawar",PESCO,6605384444,Domestic,7,387,13757,2024-05,2024-06-15
33254110760954,Nauman Dar,611019-9399091-7,"House 210, Street 43, G-10, Islamabad",IESCO,5058319971,Domestic,10,2312,102380,2024-05,2024-06-15
86559630993842,Asad Khan,,"House 923, Street 51, Madina Town, Faisalabad",FESCO,4289731791,Domestic,7,873,27258,2024-05,2024-06-15
12206815583938,Bilawal Mir,374051-9909133-5,"House 77, Street 11, Bahria Town, Rawalpindi",IESCO,3315520650,Domestic,7,324,14352,2024-05,2024-06-15
61721314519515,Waqas Janjua,352029-2992299-5,"House 972, Street 42, Wapda Town, Lahore",LESCO,0922685926,Domestic,15,240,10480,2024-05,2024-06-15
48181398909837,Qureshi,,"House 28, Street 36, Gulgasht Colony, Multan",MEPCO,8204339718,Domestic,7,445,12647,2024-05,2024-06-15
20954814973746,Md. Fahad Abbasi,421014-3515850-7,"House 844, Street 30, Clifton, Karachi",K-Electric,3302764208,Domestic,7,1833,70066,2024-05,2024-06-15
25690409836655,Nimar Tarar,363023-1200471-0,"House 380, Street 43, Model Town, Multan",MEPCO,9931608752,Domestic,5,389,14680,2024-05,2024-06-15
99663618637159,Salman Malik,352027-0330923-3,"House 477, Street 45, Model Town, Lahore",LESCO,4121820970,Domestic,2,2063,85790,2024-05,2024-06-15
22402990155799,Kamran Tarar,173019-1203875-1,"House 7, Street 35, Gulbahar, Peshawar",PESCO,4139080882,Domestic,5,592,25717,2024-05,2024-06-15
03553380339685,Iqra Chaudhry,331001-6717565-4,"House 508, Street 19, Jaranwala Road, Faisalabad",FESCO,1713023212,Domestic,3,400,13161,2024-05,2024-06-15
54443928404456,Faizan Gondal,363026-4558122-3,"House 425, Street 27, Shah Rukn-e-Alam, Multan",MEPCO,0782633373,Domestic,10,242,8149,2024-05,2024-06-15
47541022526771,Shahzad Satti,363027-6471027-7,"House 148, Street 21, Shah Rukn-e-Alam, Multan",MEPCO,4215226557,Domestic,15,309,13250,2024-05,2024-06-15
21970546692758,Saba Bhatti,363026-2054932-8,"House 411, Street 43, Cantt, Multan",MEPCO,5168740903,Domestic,10,271,11626,2024-05,2024-06-15
53663778052924,Sidra Khan,,"House 399, Street 22, Gulbahar, Peshawar",PESCO,5536668459,Domestic,2,816,33833,2024-05,2024-06-15
28476570412009,Areeba Ababsi,173019-9825952-6,"House 849, Street 33, Gulbahar, Peshawar",PESCO,6678498436,Commercial,5,256,9212,2024-05,2024-06-15
01364971892419,Fahad Cheema,363022-3493618-3,"House 170, Street 51, Shah Rukn-e-Alam, Multan",MEPCO,6252571509,Commercial,7,318,12276,2024-05,2024-06-15
33750479303614,Farhan Cheema,611014-7182278-3,"House 217, Street 60, Bahria Town, Islamabad",IESCO,8399921921,Domestic,10,173,5735,2024-05,2024-06-15
72863330212606,Mohammad Ali Abbasi,421015-8499121-7,"House 774, Street 10, DHA Phase 6, Karachi",K-Electric,1792025213,Domestic,10,2494,75740,2024-05,2024-06-15
64771591030021,Rabia Mughal,363021-1047541-2,"House 569, Street 33, Model Town, Multan",MEPCO,6321358004,Commercial,2,292,11215,2024-05,2024-06-15
42356778265960,Fahad Cheema,363020-7072867-9,"House 741, Street 2, Model Town, Multan",MEPCO,3199255027,Commercial,7,1777,78858,2024-05,2024-06-15
72558777496903,Mohammed Hussain Qureshi,352026-9176936-7,"House 6, Street 58, Wapda Town, Lahore",LESCO,3634669254,Domestic,3,784,28597,2024-05,2024-06-15
89487060566418,Hira Bhatti,352021-3178108-0,"House 493, Street 14, Wapda Town, Lahore",LESCO,0304687506,Domestic,2,220,9869,2024-05,2024-06-15
99741926764921,Tariq Abbasi,363029-1592124-9,"House 544, Street 19, Model Town, Multan",MEPCO,8260688871,Domestic,10,3421,97127,2024-05,2024-06-15
31170303763715,Md. Adnan Gondal,331009-6596575-7,"House 971, Street 45, Madina Town, Faisalabad",FESCO,4728123567,Commercial,10,373,15106,2024-05,2024-06-15
32797245723084,Hussain Rana,363022-9226801-0,"House 958, Street 46, Gulgasht Colony, Multan",MEPCO,0184186203,Domestic,7,338,13529,2024-05,2024-06-15
