consumer_no,customer_name,customer_cnic,service_address,company,meter_number,units_hm3,bill_amount,billing_month
87286604164,Muhammad aFhad Abbasi,421014-3515850-7,"House 844, Street 30, Clifton, Karachi",SSGC,95922483,306,68655,2024-05
90477425859,Faahd Qureshi,421016-5367294-7,"House 902, Street 50, Clifton, Karachi",SSGC,93238223,158,32500,2024-05
56974132834,Ali aJnjua,374058-2523542-7,"House 827, Street 42, DHA-I, Rawalpindi",SNGPL,20377107,427,97664,2024-05
75481386667,Md. Gondal,331000-5022961-3,"House 386, Street 27, Jaranwala Road, Faisalabad",SNGPL,93242687,146,26821,2024-05
12125902035,Noor Janjua,352029-9255466-4,"House 343, Street 5, Model Town, Lahore",SNGPL,34324064,149,21327,2024-05
06158148881,Usman Warraich,,"House 491, Street 59, University Town, Peshawar",SNGPL,98334233,740,155143,2024-05
34324474175,Farhan Mughal,421012-6291486-5,"House 434, Street 33, Gulshan-e-Iqbal, Karachi",SSGC,87209628,142,27538,2024-05
26831901302,Hussain Cheema,421016-0122691-7,"House 567, Street 56, Clifton, Karachi",SSGC,69815287,73,10564,2024-05
47272742318,Iqra Chaudhry,331001-6717565-4,"House 508, Street 19, Jaranwala Road, Faisalabad",SNGPL,06178932,90,11254,2024-05
42457988942,Md. Tariq Warraich,611017-8700516-3,"House 749, Street 52, F-7, Islamabad",SNGPL,90603202,69,13972,2024-05
51588863677,Abdullah Tarar,374057-9749930-9,"House 635, Street 50, Westridge, Rawalpindi",SNGPL,22640857,166,34080,2024-05
31528547815,Iqra Janjua,,"House 691, Street 54, Cantt, Multan",SNGPL,18538003,52,7165,2024-05
35228705622,Hussain Janjua,421018-1775891-7,"House 803, Street 59, Bahadurabad, Karachi",SSGC,04331875,68,8997,2024-05
04413845960,Bilawal Bhatti,421019-8685014-3,"House 445, Street 23, Bahadurabad, Karachi",SSGC,49014954,77,17724,2024-05
29671114837,Nauman Dar,611019-9399091-7,"House 210, Street 43, G-10, Islamabad",SNGPL,37458438,242,57133,2024-05
79316477251,Maryam Butt,421015-2545738-6,"House 714, Street 29, Gulshan-e-Iqbal, Karachi",SSGC,78606940,84,16890,2024-05
08085096085,Farhan Traar,352028-5610143-9,"House 475, Street 50, Cantt, Lahore",SNGPL,51191818,57,8012,2024-05
10496706670,Hassan Awan,421014-4935348-7,"House 850, Street 18, Clifton, Karachi",SSGC,68040850,139,33124,2024-05
92355580996,Fatima Gondal,363027-0305486-8,"House 196, Street 19, Shah Rukn-e-Alam, Multan",SNGPL,27303461,165,27084,2024-05
25883586812,Fahad hBatti,173019-3511615-5,"House 550, Street 8, Gulbahar, Peshawar",SNGPL,95724461,148,35386,2024-05
83503446945,Tariq Abbasi,363029-1592124-9,"House 544, Street 19, Model Town, Multan",SNGPL,48831921,579,124476,2024-05
67046226817,Kiran Raja,374056-7758416-0,"House 106, Street 6, Chaklala Scheme 3, Rawalpindi",SNGPL,16025298,57,9685,2024-05
53194979695,Adnan Abbasi,421012-2104696-3,"House 195, Street 49, DHA Phase 6, Karachi",SSGC,80555572,118,21246,2024-05
60464197857,Danish Muhgal,374050-6401658-3,"House 449, Street 3, Satellite Town, Rawalpindi",SNGPL,12686120,173,28341,2024-05
