khewat_no,khatooni_no,khasra_no,mauza,tehsil,district,fard_registry_no,property_type,area,dc_valuation,market_value,owner_cnic,owner_name,mutation_no,cvt_stamp_duty_paid
859/724,503,2827,Mauza Saggian,Karachi,Karachi,FRD-845965,Residential Plot,3 Marla,6322729,15557379,421015-8499121-7,Ali Abbasi,INT-7844,466721
796/507,619,3137,Mauza Saggian,Faisalabad,Faisalabad,FRD-469495,Residential House,10 Marla,41395553,108085280,331004-0598262-1,Md. Hassan Awan,INT-3631,3242558
122/668,230,4539,Chak 12-L,Lahore,Lahore,FRD-865859,Residential House,1 Kanal,80445102,154771500,352029-1671902-3,Faizan Satti,INT-3938,4643145
669/763,481,4043,Mauza Saggian,Rawalpindi,Rawalpindi,FRD-867101,Residential Plot,2 Kanal,89595133,207034360,374059-3918785-0,Aqsa Sheikh,INT-4239,6211030
632/54,412,2996,Mauza Saggian,Rawalpindi,Rawalpindi,FRD-284055,Commercial,2 Kanal,67297642,153433680,374055-6966416-1,Adnan Raja,INT-7226,4603010
114/58,1015,3231,Chak 12-L,Peshawar,Peshawar,FRD-358064,Residential House,1 Kanal,22492798,38556460,173019-1203875-1,Muhammad Kamran Tarar,INT-6120,1156693
160/320,1033,2460,Mauza Kot,Islamabad,Islamabad,FRD-840605,Agricultural,10 Marla,6817642,17688460,611014-8398262-3,Mohammad Kamran Cheema,INT-3030,530653
515/197,244,2996,Mauza Saggian,Rawalpindi,Rawalpindi,FRD-142961,Agricultural,1 Kanal,19377976,35143660,374050-1509839-2,Zainab Qureshi,INT-7978,1054309
365/686,424,2973,Mauza Saggian,Lahore,Lahore,FRD-817286,Agricultural,10 Marla,5848875,12097250,352022-8547772-4,Hina Qureshi,INT-6588,362917
829/162,908,1855,Chak 45,Islamabad,Islamabad,FRD-681697,Agricultural,1 Kanal,10058695,27922480,611014-1476797-7,Bilal Malik,INT-8844,837674
276/769,755,797,Mauza Kot,Multan,Multan,FRD-619333,Residential House,10 Marla,54085919,114748390,363029-1592124-9,Tariq Abbasi,INT-7250,3442451
61/345,634,1873,Mauza Kot,Karachi,Karachi,FRD-410486,Residential Plot,10 Marla,5325643,17254840,421012-4773586-6,Rabia Khan,INT-7039,517645
822/203,445,2844,Chak 45,Lahore,Lahore,FRD-216895,Residential House,10 Marla,8882868,18718350,352026-9176936-7,Muhammad Hussain Qrueshi,INT-5853,561550
263/275,1293,4226,Chak 45,Peshawar,Peshawar,FRD-466353,Residential Plot,5 Marla,3896034,8211255,173017-6887676-7,Muhammad Sheikh,INT-3689,246337
371/659,1198,1838,Mauza Kot,Lahore,Lahore,FRD-726615,Residential Plot,7 Marla,4254035,10944661,,Muhammad Warraich,INT-9577,328339
105/703,1382,2082,Mauza Manga,Karachi,Karachi,FRD-984539,Commercial,7 Marla,3758076,10294921,,Fahad Qureshi,INT-3964,308847
447/203,512,2299,Mauza Saggian,Peshawar,Peshawar,FRD-305282,Commercial,1 Kanal,101171169,177687040,173018-3309584-8,Hira Sanhdu,INT-1472,5330611
