passport_no,cnic,full_name,nationality,pnr,airline,flight_no,departure_airport,arrival_airport,destination_country,travel_date,ticket_cost,travel_frequency_year
AD7329894,352022-8805929-7,Muhammad Hussain Butt,PAK,UQQ196,Qatar Airways,QR-551,ISB,LHR,UK,2024-08-23,650769,3
BP7110659,173013-8373540-3,Usman Warraich,PAK,34WCBT,Turkish,TK-353,ISB,IST,Turkey,2023-10-18,1898868,2
EC9784296,331008-0673830-3,Adnan Malik,PAK,FWMX6M,Turkish,TK-551,PEW,LHR,UK,2023-06-21,522408,2
JB3378560,374054-8267734-5,Fahad Awan,PAK,ALF7MG,Etihad,EY-843,LHE,BKK,Thailand,2023-09-25,147291,1
CP1628491,173018-8723430-8,Nimra Mir,PAK,7HF5XZ,Qatar Airways,QR-680,KHI,BKK,Thailand,2024-08-13,88662,1
HA2922848,374051-9909133-5,Bilawal Mir,PAK,HRJCQR,Etihad,EY-247,ISB,IST,Turkey,2024-12-01,113152,1
EC9422685,331000-2176591-8,Fatima Tarar,PAK,BJACCK,Emirates,EK-514,KHI,JED,Saudi Arabia,2024-10-16,798903,2
LL9724962,611019-9399091-7,Nauman Dar,PAK,6EWD31,Turkish,TK-642,LHE,DOH,Qatar,2024-02-29,604273,3
MN6716053,421011-8557444-3,Tariq Mughal,PAK,UCGDVJ,PIA,PK-464,PEW,DXB,UAE,2023-06-06,121558,1
BK1047272,363022-3493618-3,Fahad Cheema,PAK,GXP4KK,Saudia,SV-863,ISB,IST,Turkey,2024-01-13,94519,1
AL8540805,173019-6048175-4,Aqsa Mughal,PAK,V3KEL6,Emirates,EK-587,ISB,JFK,USA,2023-06-25,564081,2
PH7553095,363028-1317127-5,Saad Rana,PAK,BR70Q8,Qatar Airways,QR-857,LHE,JFK,USA,2023-04-23,809411,1
NH5820173,173013-6688263-5,Abdullah Malik,PAK,8EH66L,Qatar Airways,QR-248,LHE,IST,Turkey,2024-06-18,80996,1
CN8913154,421018-7979688-7,Fahad Dar,PAK,2H757Q,Qatar Airways,QR-365,PEW,IST,Turkey,2023-10-24,2018949,6
ME1537436,331004-0598262-1,Muhammad Hassan Awan,PAK,632HVP,Saudia,SV-684,ISB,LHR,UK,2024-01-08,1903504,3
CN8913154,421018-7979688-7,Fahad Dar,PAK,4PMBWM,Etihad,EY-376,LHE,JFK,USA,2024-08-13,1731819,6
NK1858921,374055-7204653-7,Ali Awan,PAK,XMNA3F,Etihad,EY-536,LHE,IST,Turkey,2024-05-06,596240,3
PF6987463,611012-6238692-3,Muhammad Abdullah Mughal,PAK,QPPZGC,Etihad,EY-462,ISB,KUL,Malaysia,2024-08-24,812716,2
BM9786580,352022-8547772-4,Hina Qureshi,PAK,TZJR89,Etihad,EY-771,KHI,DXB,UAE,2024-02-16,348643,1
BG1683460,352029-1671902-3,Faizan Satti,PAK,FXLMGB,Qatar Airways,QR-681,LHE,KUL,Malaysia,2024-12-26,1938408,4
GM1718961,331003-1247826-1,Fahad Butt,PAK,33C9GH,Qatar Airways,QR-331,PEW,DXB,UAE,2023-01-19,866293,3
ME1537436,331004-0598262-1,Muhammad Hassan Awan,PAK,CFDHKG,Qatar Airways,QR-659,LHE,IST,Turkey,2023-06-02,1551036,3
JP8354627,173018-3309584-8,Hira Sandhu,PAK,FHK1DK,PIA,PK-355,ISB,KUL,Malaysia,2023-08-01,2996586,6
NE9584609,374055-7661565-4,Sadia Mir,PAK,9MJEDT,Emirates,EK-248,ISB,KUL,Malaysia,2024-02-06,722325,2
