account_number,iban,bank_name,branch_code,customer_cnic,customer_name,customer_address,account_type,account_balance,annual_turnover,mobile
44671776296914,PK84UNIL3362999466450999,UBL,1475,173011-3398454-7,Hassan Janjua,"House 250, Street 45, University Town, Peshawar",Savings,2181974,3635584,0312-7327855
25476022069535,PK20ASCM4120122759500260,Askari Bank,6234,363028-1317127-5,Saad Rana,"House 484, Street 16, Model Town, Multan",Current,23167120,69910785,0333-7961578
36258542188087,PK53UNIL9919623419964338,UBL,4922,363029-1592124-9,Tariq Abbasi,"House 544, Street 19, Model Town, Multan",Current,93646039,443951935,0307-4607488
49864786862376,PK83UNIL0088447408378191,UBL,1532,611017-8700516-3,Muhammad Tariq Warraich,"House 749, Street 52, F-7, Islamabad",Savings,109511,307954,0302-3396676
27203886217508,PK28ABPA0196304530693588,Allied Bank,5370,352026-9176936-7,Muhammad Hussain Qureshi,"House 6, Street 58, Wapda Town, Lahore",Savings,1630901,9005956,0322-9689889
62953506373118,PK29MUCB0467413075384185,MCB,1222,352022-8805929-7,Muhammad Hussain Butt,"House 790, Street 40, Wapda Town, Lahore",Savings,16590463,30241376,0322-4985095
90457598875921,PK55SCBL2996426033620275,Standard Chartered,9530,421014-8217594-7,Abdullah Gondal,"House 394, Street 55, PECHS, Karachi",Current,225826,417737,0322-5953150
32472828954001,PK71SCBL7882247312616850,Standard Chartered,2079,331000-5240824-1,Hassan Gondal,"House 654, Street 56, Jaranwala Road, Faisalabad",Current,18413502,92773765,0314-6716097
14005278105580,PK48SCBL0027221425731609,Standard Chartered,4714,611015-5218188-2,Nimra Raja,"House 661, Street 53, F-8, Islamabad",Savings,25914102,119602617,0302-2264218
57483526806486,PK39MUCB0673983448838425,MCB,7268,363024-7719065-8,Iqra Janjua,"House 691, Street 54, Cantt, Multan",Savings,56029,328369,0302-8893693
25121375658963,PK34BPUN5957086199314584,Bank of Punjab,5249,363028-1727155-0,Amna Butt,"House 872, Street 11, Gulgasht Colony, Multan",Savings,4832329,14364834,0302-4971774
10187803586901,PK86UNIL7074039251999452,UBL,6215,331008-5004797-4,Sadia Sheikh,"House 904, Street 17, Peoples Colony, Faisalabad",Savings,117678,645566,0331-4265774
94501192920753,PK50MEZN6051171603988636,Meezan Bank,5072,374058-2513542-7,Ali Janjua,"House 827, Street 42, DHA-I, Rawalpindi",Savings,116344556,685431041,0301-3253031
16581292059229,PK69ALFH4115630295596363,Bank Alfalah,3525,374057-9749930-9,Abdullah Tarar,"House 635, Street 50, Westridge, Rawalpindi",Savings,1044291,3486600,0322-2843740
24276774625916,PK11SCBL0112411584886008,Standard Chartered,2775,331006-0256342-1,Hamza Chaudhry,"House 837, Street 59, Jaranwala Road, Faisalabad",Savings,104024,431662,0321-7685149
82625420412319,PK37ASCM0577204410079419,Askari Bank,3614,363029-2528669-3,Muhammad Zain Gondal,"House 651, Street 35, Gulgasht Colony, Multan",Savings,353927,1122140,0314-1899447
