company_ntn,person_cnic,person_name,role,shareholding_percent
9809485-9,35202-1260147-0,Sana Chaudhry,CEO/Director,60
1749644-0,42101-3683864-3,Farhan Malik,CEO/Director,75
7830950-8,42101-9235266-7,Faizan Rana,CEO/Director,51
1909330-0,36302-9232026-2,Zainab Chaudhry,CEO/Director,100
8935538-3,61101-5054686-9,Hassan Satti,CEO/Director,51
9877475-3,36302-5980617-6,Hina Bhatti,CEO/Director,51
9625332-4,42101-5271116-8,Kiran Chaudhry,CEO/Director,60
1161243-5,17301-6030750-5,Muhammad Kamran Dar,CEO/Director,75
8265760-0,35202-5880994-3,Muhammad Danish Qureshi,CEO/Director,51
4850770-0,42101-6090627-5,Muhammad Usman Satti,CEO/Director,75
4027468-7,33100-1248057-1,Salman Cheema,CEO/Director,60
8489921-0,37405-1009440-8,Nimra Mir,CEO/Director,60
3735768-7,35202-0506122-5,Kamran Mir,CEO/Director,100
6629771-6,17301-1887003-7,Muhammad Zain Warraich,CEO/Director,75
3884121-7,34603-0509872-2,Sana Sheikh,CEO/Director,60
7073688-9,36302-2192835-0,Kiran Khan,CEO/Director,60
1765713-6,17301-9726852-7,Umar Bhatti,CEO/Director,60
5624813-9,35202-5187324-3,Muhammad Fahad Cheema,CEO/Director,75
1528949-0,42101-7661724-0,Ayesha Malik,CEO/Director,75
5795286-6,34603-9854215-0,Hina Sandhu,CEO/Director,100
4800809-1,33100-5048920-1,Hassan Rana,CEO/Director,51
5911578-2,34603-5213697-3,Muhammad Kamran Tarar,CEO/Director,75
4982625-3,35202-6375592-5,Hamza Rana,CEO/Director,51
1313656-3,36302-0090860-4,Sana Raja,CEO/Director,51
7781870-5,34101-2328946-0,Areeba Malik,CEO/Director,100
9586700-8,36302-6344128-3,Umar Malik,CEO/Director,100
6593761-3,35202-9315896-7,Muhammad Danish Sheikh,CEO/Director,60
9113893-9,61101-6663769-1,Muhammad Ahmed Malik,CEO/Director,75
7730971-5,61101-7916132-9,Muhammad Hassan Dar,CEO/Director,60
9675903-0,17301-9969430-7,Tariq Khan,CEO/Director,51
3909958-2,34603-0271544-7,Nauman Chaudhry,CEO/Director,51
4386265-1,17301-5986631-7,Salman Qureshi,CEO/Director,60
4634199-1,36302-4374280-6,Kiran Gondal,CEO/Director,60
6849945-1,36302-8409537-4,Komal Qureshi,CEO/Director,60
5802155-7,34101-7028193-9,Nauman Rana,CEO/Director,51
