cdc,scrip,value
819275942235,PSO,2555820.0
244254745966,FFC,2851970.0
169787269240,HBL,1577380.0
235884393671,LUCK,1892800.0
106877854203,OGDC,987240.0
875833151195,OGDC,2532120.0
416663041519,FFC,21089750.0
231033983494,PPL,148890.0
044376593010,SYS,110154760.0
117374190916,PPL,5090190.0
143228330284,LUCK,89536850.0
529884555932,SYS,1403600.0
084738526049,FFC,14467970.0
749617952321,LUCK,18111600.0
938418440545,FFC,7623990.0
229488912377,ENGRO,4492040.0
942918545322,PPL,3052035.0
468445265405,LUCK,1886950.0
830599470396,PSO,1348560.0
206540679079,PSO,515700.0
792663470915,PPL,200550.0
033320473796,ENGRO,269920.0
638540187140,PPL,248850.0
189116448715,FFC,1083500.0
464625166855,OGDC,3542400.0
767597751536,MARI,35127200.0
335849098955,OGDC,9099600.0
483722788992,FFC,282370.0
772709611289,HBL,276260.0
523428076397,FFC,2970440.0
396330480559,ENGRO,40399240.0
343773959260,MARI,5690500.0
554696539784,MARI,1466800.0
272584076827,LUCK,13862550.0
982294381220,SYS,1730140.0
609235190461,PSO,1392660.0
581732644393,ENGRO,16824640.0
210932548625,SYS,621760.0
121381960549,HBL,1575290.0
968078834701,OGDC,1206600.0
337281637080,LUCK,66005550.0
713402073702,PSO,552780.0
975635709973,PSO,85140.0
423445523221,ENGRO,10598840.0
594058636248,PPL,742140.0
926973129021,FFC,97790.0
111651772798,SYS,1336320.0
394811221988,PSO,212220.0
847708971816,OGDC,3111000.0
181628024695,PPL,7632660.0
178507468208,HBL,2496315.0
777994994371,PPL,630945.0
631819927111,PPL,175455.0
613387694760,PSO,28881000.0
958532573877,MARI,1470600.0
262085379107,MEBL,162260.0
267544886504,SYS,13891000.0
980665862221,LUCK,81250.0
910119988191,OGDC,13956960.0
004050010143,MARI,4729100.0
058311485681,OGDC,2031480.0
329856233817,ENGRO,674800.0
816041577545,ENGRO,588000.0
233007982972,ENGRO,649040.0
234698294183,MARI,307117900.0
162194494513,PSO,4443300.0
057569439579,MARI,29892700.0
586799891868,MEBL,5397900.0
882872285679,MEBL,3955230.0
881801904090,HBL,17518665.0
241888043411,MARI,90992900.0
877450897364,OGDC,107400.0
244943698148,MEBL,4541950.0
472945518150,MARI,158682300.0
480772591289,ENGRO,52192840.0
397933492024,MEBL,42560.0
655362501002,PSO,1150920.0
161058742653,SYS,1579340.0
630609944931,PSO,2605140.0
148308100375,MARI,178839400.0
543426616856,LUCK,11737050.0
073650227421,MARI,353289800.0
069591839736,MEBL,1803480.0
116802236780,OGDC,1342560.0
670091887788,SYS,11177180.0
421205632888,PPL,11870460.0
295904442221,LUCK,17062500.0
063971199059,PPL,241290.0
969332583295,PPL,36960.0
971555529457,ENGRO,3278240.0
825944804393,FFC,1647690.0
210461765729,PPL,2172240.0
935094308985,MEBL,57950.0
583909497762,PSO,25006500.0
609670724339,OGDC,85080.0
531140448527,LUCK,18513300.0
555634074013,ENGRO,8280440.0
165581944725,HBL,848160.0
753234861293,HBL,115140.0
157937497586,ENGRO,847000.0
254982829503,FFC,280060.0
696421341633,SYS,12686920.0
322171198933,MEBL,207480.0
361105877019,PSO,3405600.0
034047109938,MEBL,18677190.0
407339256075,PSO,232740.0
449187317039,SYS,15320120.0
347390645145,PSO,20476980.0
692168067709,PPL,196980.0
032326202043,MEBL,18804110.0
407185125137,ENGRO,5982200.0
396220135314,HBL,188005.0
802911217384,FFC,420970.0
974640451620,ENGRO,5523000.0
813235090469,PSO,12750480.0
943070750629,LUCK,186550.0
594670706360,HBL,1780300.0
336433186837,PPL,402885.0
613256232230,HBL,592230.0
117710228415,PSO,509400.0
842341513272,MEBL,305900.0
549107812424,OGDC,276840.0
005276481092,PSO,21518820.0
769067239937,LUCK,19585150.0
674949663156,ENGRO,604800.0
652650129962,HBL,862030.0
949449518465,OGDC,1577640.0
943936957974,PPL,20788950.0
189273118870,PPL,1541925.0
688066324233,PSO,3536100.0
427588813690,FFC,2076910.0
144343325230,PPL,4664310.0
052477451441,ENGRO,7292600.0
720954419583,ENGRO,36481760.0
484886284030,LUCK,87118850.0
628315301343,MEBL,31633860.0
263934333747,PPL,14750295.0
605754825117,SYS,6203100.0
035318322989,ENGRO,7542080.0
358684375308,MEBL,3524690.0
357927831675,SYS,9847240.0
202340871263,LUCK,4755400.0
016237581380,HBL,1534155.0
076710086648,SYS,8878060.0
441596027560,PPL,2954070.0
497033776502,SYS,1450580.0
513282669050,MARI,2897500.0
976792686145,SYS,77140.0
671071344229,ENGRO,8338960.0
692903979165,MARI,11324000.0
270415207132,OGDC,22225440.0
318598579248,OGDC,1908000.0
937418596210,FFC,27610.0
853813704157,MEBL,306660.0
865104175205,PPL,1142610.0
647366890230,LUCK,12011350.0
696572886503,SYS,4185860.0
783049131242,LUCK,388050.0
552528668092,MARI,14447600.0
955579289095,MEBL,234080.0
567739611464,MEBL,184490.0
617999741999,OGDC,1926480.0
293979603026,SYS,1521340.0
193412329172,MEBL,5916980.0
455804818986,LUCK,15376400.0
044560540854,FFC,238810.0
224016537425,MEBL,5405880.0
963430015674,MEBL,155800.0
670149680720,PPL,148365.0
332595537972,SYS,11796620.0
122079772907,LUCK,55152500.0
322619580828,LUCK,98383350.0
474216323347,HBL,1838155.0
551036104178,LUCK,69820400.0
108592413663,OGDC,622680.0
360276123358,SYS,6762220.0
183893857223,MARI,2202100.0
605463188086,LUCK,2897700.0
028794838962,LUCK,14948700.0
479602011065,ENGRO,39343080.0
621547739617,OGDC,16803960.0
517386011762,ENGRO,19330360.0
850422845476,MARI,5213600.0
573893192568,ENGRO,40288920.0
509020742612,ENGRO,783440.0
255942613251,LUCK,12619100.0
327683366315,LUCK,490750.0
858030383635,SYS,22586360.0
675933939701,SYS,114157340.0
990361834560,LUCK,13710450.0
618138109262,FFC,15916010.0
344482804175,PPL,1233540.0
794057146105,PPL,16345245.0
930466331460,OGDC,49440.0
091560817466,HBL,839230.0
623852796647,FFC,19486830.0
011803065193,LUCK,51084150.0
545936757572,PPL,22995.0
287686145119,HBL,2538780.0
228996946865,SYS,1053280.0
190073550910,MARI,4858300.0
524575421038,PSO,2404440.0
710685065679,FFC,4325530.0
243580759549,MEBL,31475590.0
145030534051,ENGRO,30314480.0
523399240897,OGDC,6192960.0
138015576941,PSO,2351340.0
006987983014,PPL,15321495.0
057959799954,SYS,22678580.0
702652805482,OGDC,2226840.0
563484113381,PPL,19421745.0
322464856643,OGDC,2045280.0
126196628042,OGDC,7092960.0
775133636605,LUCK,129666550.0
124308571148,FFC,3297910.0
888071886157,LUCK,1402700.0
755005373654,LUCK,6723600.0
731861587184,FFC,1224080.0
526088894198,MEBL,519840.0
482655195135,LUCK,11435450.0
226908342287,MARI,127947900.0
690073725824,PSO,16946820.0
282562189526,OGDC,882960.0
608827774546,SYS,6378260.0
183753284847,PPL,211890.0
900306039040,SYS,203580.0
453863132075,SYS,7585240.0
135461720108,PSO,1545120.0
772002486137,SYS,703540.0
545848265920,PSO,246960.0
534619085620,OGDC,1061760.0
431649540528,FFC,177650.0
886318043190,MEBL,4359170.0
066600812771,LUCK,1365000.0
976113865174,MARI,189057600.0
062004233055,MEBL,4402110.0
951981810606,PSO,470340.0
065911980153,MEBL,34850750.0
982105532685,PPL,271215.0
771277731631,PSO,21499380.0
624461192091,ENGRO,433720.0
631153392042,LUCK,81644550.0
300186171773,HBL,1090315.0
827149679898,MEBL,380950.0
395435255102,OGDC,1988520.0
148182088292,MARI,29170700.0
069661154540,HBL,17521420.0
440933833609,HBL,139840.0
477267548848,LUCK,1201850.0
566758106486,FFC,220880.0
624834023310,SYS,46080420.0
830252142088,SYS,331180.0
443170279073,HBL,18669590.0
491528363752,PPL,1228920.0
014720412495,OGDC,1050000.0
067807324296,LUCK,70571800.0
166348506832,HBL,4481910.0
922749091906,MARI,2114700.0
612449604619,PPL,214620.0
266116821028,ENGRO,5160120.0
927498387303,FFC,588500.0
294854394696,HBL,10640.0
724338804396,LUCK,369850.0
505072593957,MEBL,1867510.0
854433379626,MARI,37545900.0
023433275455,MARI,253897000.0
352412963787,PPL,2521995.0
713721536794,SYS,173420.0
034794161534,PSO,24909660.0
616552991429,PPL,715365.0
347319881302,LUCK,14117350.0
299991133657,MEBL,864120.0
852611700727,MARI,313047800.0
011412906438,LUCK,5631600.0
892933258038,MARI,21774000.0
286203300876,PSO,329400.0
286432072837,FFC,239800.0
378988395651,MEBL,5380990.0
301601450336,MEBL,367460.0
968044590804,OGDC,858240.0
353002298898,PPL,12861240.0
008549316249,MEBL,4648160.0
778918367922,FFC,25960.0
269948553826,ENGRO,5031880.0
461617835707,PPL,12312930.0
960419245711,PSO,4644360.0
883322202094,PPL,1094940.0
370824600403,LUCK,88843300.0
269228369589,PPL,1869525.0
292311698247,FFC,78980.0
768958591558,OGDC,240000.0
967405871064,MEBL,357390.0
637937053413,PSO,3218040.0
249941951932,SYS,7821300.0
769386841934,PPL,65520.0
540310143037,FFC,1854710.0
079123732125,LUCK,494650.0
461167358727,HBL,243485.0
420539802017,LUCK,988650.0
014778080784,OGDC,13356480.0
496988515089,LUCK,687700.0
643200218628,ENGRO,835520.0
470828421661,MEBL,18107760.0
239253962570,MARI,175829800.0
504878175446,SYS,23574100.0
632331038285,MEBL,5012960.0
802050686274,PSO,60300.0
667952663647,OGDC,14163000.0
385377531959,PPL,1479870.0
701890486489,MEBL,26765870.0
201268511851,ENGRO,2886800.0
432577950329,ENGRO,11107320.0
367594578267,LUCK,2880800.0
265129476947,MEBL,29509850.0
993331359930,MARI,13678100.0
931090173581,SYS,85840.0
401929361623,ENGRO,54432560.0
284217283079,PSO,25293780.0
312127359880,PSO,4191480.0
714904163837,ENGRO,120960.0
665428929925,LUCK,306800.0
666446574347,ENGRO,3258920.0
000958963279,MEBL,3158750.0
216145086836,LUCK,109222100.0
353960808616,ENGRO,360360.0
790573701702,SYS,399620.0
712049473710,MEBL,133760.0
790598248271,HBL,1040440.0
006800921008,PPL,177135.0
171098642656,ENGRO,2250080.0
364732746210,FFC,476300.0
199746269002,ENGRO,7236320.0
870912116962,ENGRO,309680.0
629455631151,LUCK,16300050.0
197339829782,PSO,500760.0
069889564931,SYS,1119400.0
604693428540,HBL,4179050.0
153368113980,FFC,22330.0
007087920194,LUCK,31782400.0
988296474263,PPL,7455.0
078979105231,OGDC,127320.0
961714372346,LUCK,37772150.0
606679396424,ENGRO,16800.0
058028792477,ENGRO,174440.0
828163257872,MEBL,512240.0
921239837116,PSO,1387620.0
602475999116,ENGRO,11465720.0
951148535343,PSO,388080.0
928875666506,FFC,1201530.0
343388540586,PSO,15308820.0
114206931716,FFC,10563300.0
729190902651,MEBL,4143710.0
482798147009,HBL,4922520.0
809352152781,OGDC,16964760.0
504861362516,PSO,5354280.0
703074982831,MEBL,20122330.0
916201431802,HBL,316065.0
810412008730,MEBL,324330.0
626887553243,ENGRO,447440.0
367582878261,OGDC,2465160.0
199331903617,LUCK,8588450.0
201664583715,LUCK,11569350.0
751491563240,HBL,146965.0
431863652759,SYS,12873680.0
207854100937,OGDC,7671720.0
328535197701,HBL,1120240.0
907614008750,HBL,12730.0
204660032198,MARI,33063800.0
442001644682,FFC,268180.0
326430876249,OGDC,332040.0
994440968038,HBL,117895.0
182544766367,HBL,204915.0
565015508859,OGDC,1837080.0
375680063611,HBL,678015.0
875514267222,HBL,2616300.0
066152380790,PPL,18893700.0
755713733089,LUCK,86713250.0
774716318463,PPL,106470.0
065597025771,OGDC,15703440.0
056467962324,PPL,2591085.0
277113229024,PSO,23970780.0
611396188662,PSO,27444780.0
948255315753,PSO,450900.0
164811584923,PSO,109260.0
193290212438,PSO,15400800.0
222489805444,ENGRO,2667280.0
158250704149,OGDC,13979760.0
931248631247,ENGRO,45183040.0
536524081342,HBL,1140570.0
853254121351,ENGRO,313600.0
349024838785,PSO,2128680.0
254581412507,PSO,20373840.0
724262276660,FFC,91190.0
952864923459,FFC,20084240.0
403574975193,FFC,272470.0
203343084748,PSO,10673280.0
548189905156,MARI,118712000.0
239973061288,FFC,196020.0
375192869754,FFC,2618880.0
230644038986,PPL,999495.0
809094220840,OGDC,23848560.0
549470597344,PSO,177840.0
701933317315,PPL,1811775.0
638487872789,MEBL,5283520.0
291183519541,LUCK,1743300.0
266960790612,ENGRO,5815600.0
569739056556,ENGRO,5759320.0
890445547120,SYS,11617980.0
373271416559,OGDC,1099200.0
733185475779,MARI,369591800.0
282081781095,ENGRO,1846320.0
254837339962,PPL,1371615.0
424471226267,OGDC,2622600.0
318205803264,ENGRO,741720.0
626710325776,PSO,59760.0
389286127610,MEBL,34340980.0
071060869467,FFC,1052040.0
699995411599,ENGRO,1777160.0
384787093869,MEBL,28208350.0
359039541504,PSO,3132180.0
433527050070,MARI,277436100.0
778853255185,LUCK,910650.0
750971350699,FFC,4665870.0
161505553949,OGDC,20254920.0
700030410069,LUCK,92168050.0
289948916828,FFC,13215290.0
082873251643,FFC,1715670.0
504763858543,PPL,289800.0
543043166475,LUCK,12549550.0
936918165032,LUCK,10501400.0
510571216512,MARI,2511800.0
796505212692,ENGRO,1910160.0
108031948654,PSO,531540.0
290929942154,SYS,107767480.0
404461386499,HBL,143165.0
202900667343,SYS,38331040.0
185087503775,ENGRO,3474240.0
487623576872,OGDC,856920.0
576225895008,PPL,147945.0
590583723936,HBL,10630785.0
156361550786,ENGRO,17177720.0
856597687583,SYS,1615880.0
627625604164,MARI,16594600.0
602601585718,LUCK,12189450.0
715167527254,PPL,19879125.0
278942484372,SYS,800400.0
316217086820,MEBL,239970.0
979091262296,OGDC,1099440.0
805559740048,MARI,279140400.0
324192582937,MARI,183640700.0
309734297871,MEBL,352450.0
356707798170,OGDC,172800.0
258970488084,MEBL,21090.0
785456248424,PPL,10760715.0
292765838507,PSO,19402200.0
495243355711,PSO,4861440.0
918530902485,ENGRO,18077360.0
565379975326,OGDC,1154040.0
860008664067,OGDC,44760.0
649312902218,MEBL,8836140.0
557505288911,FFC,4085950.0
087453582252,MARI,3138800.0
487371714843,FFC,9862270.0
738980249355,PPL,1217475.0
068236242012,PPL,154455.0
912878950259,ENGRO,59360.0
175042076124,OGDC,25080.0
931126417793,LUCK,18103800.0
382797062058,MARI,25268100.0
271879189886,LUCK,10436400.0
275974906946,MARI,175153400.0
135748140882,MARI,80617000.0
642636000343,FFC,14497670.0
725425410311,PPL,16555980.0
590051906170,FFC,3710520.0
295017571496,OGDC,46320.0
895027869575,LUCK,8424650.0
724393098066,LUCK,99700900.0
714736107947,FFC,21689140.0
250408892707,SYS,1244100.0
479750737897,ENGRO,860720.0
559929625639,LUCK,17596800.0
156280191586,OGDC,251160.0
594925864750,MEBL,4878250.0
445089540925,MARI,2405400.0
322617806974,LUCK,127602800.0
567124725953,HBL,16973650.0
652835207591,HBL,169100.0
293920239890,HBL,1960990.0
815236875001,FFC,2655730.0
661482149110,ENGRO,619080.0
349107550906,SYS,55100.0
779013868527,MEBL,4176580.0
127670318545,PPL,19668075.0
896367557030,MEBL,346940.0
671917995753,MARI,3790500.0
433916150703,OGDC,145320.0
830561574373,MEBL,5320760.0
695951111212,HBL,32205.0
967223429481,PPL,1991325.0
094799438383,FFC,1225180.0
588516417890,FFC,922350.0
414471423674,PPL,140490.0
502139786926,ENGRO,8995000.0
830743452370,FFC,1419000.0
384368846824,ENGRO,444080.0
762401552037,LUCK,396500.0
979310180984,SYS,11917840.0
467742077330,LUCK,69160650.0
617088415763,OGDC,10680.0
989328193245,SYS,1439560.0
954056219620,SYS,7789400.0
345127183111,MARI,247000.0
011505276329,OGDC,10597080.0
300182951347,HBL,247190.0
396695188295,OGDC,1907280.0
453376095780,MARI,3678400.0
020159847875,FFC,1313730.0
738146301962,PSO,177120.0
097152786586,FFC,2012120.0
415217475106,MEBL,14254560.0
030512251855,FFC,2231020.0
111512873418,PSO,1948860.0
733684738643,MARI,35343800.0
152397801016,HBL,7990165.0
444419967186,ENGRO,5874400.0
893922653706,OGDC,11519880.0
994037861920,FFC,1308120.0
928298843676,HBL,2765165.0
862808199632,HBL,154565.0
676670172175,HBL,640775.0
848712967236,SYS,1536420.0
212528471604,MEBL,27336060.0
784892298961,MEBL,2087720.0
313874710566,ENGRO,2394840.0
279949822182,HBL,3126735.0
145088062119,PSO,34747560.0
489585264743,ENGRO,226800.0
234271368863,HBL,239020.0
838773733014,PSO,22861800.0
057612220697,ENGRO,752920.0
699761382565,LUCK,7474350.0
875630189190,HBL,1743535.0
188811209476,SYS,8100860.0
210271865712,OGDC,17643480.0
265047688635,PPL,1553475.0
479870742198,MEBL,117990.0
589095129206,HBL,1320975.0
669675468234,SYS,65555080.0
902272679290,MARI,16193700.0
002449525683,ENGRO,492520.0
441931271013,ENGRO,598640.0
976689133894,MARI,259245500.0
563178713754,SYS,51504000.0
184555563298,OGDC,25800.0
325403569663,MEBL,155990.0
617864398650,ENGRO,4945360.0
243042469661,HBL,2622285.0
835955291770,PSO,808560.0
369164860852,LUCK,18578950.0
021936948033,FFC,51260.0
234735711129,LUCK,4780750.0
829734758700,HBL,9535340.0
851850233034,FFC,49280.0
605416156158,LUCK,64646400.0
384785673982,ENGRO,3459680.0
657601252723,OGDC,687000.0
998702186144,HBL,167580.0
541392116704,LUCK,248300.0
988614034663,LUCK,1426750.0
213630780522,ENGRO,834400.0
208408390441,LUCK,9658350.0
964092160119,SYS,561440.0
760405594370,LUCK,17397900.0
627964418838,LUCK,2380300.0
347342335793,ENGRO,399000.0
775594465064,HBL,18615250.0
932997132177,LUCK,11634350.0
823600400117,PSO,32139000.0
204812085438,ENGRO,5605600.0
609482120675,SYS,71239080.0
161224575158,ENGRO,40223120.0
196434375210,FFC,17068810.0
433000204701,MARI,3955800.0
541084293350,LUCK,16527550.0
357433244678,OGDC,10213200.0
585488266857,LUCK,8356400.0
647774298196,PSO,1333620.0
750431497118,MARI,3349700.0
723643891970,PPL,1615110.0
420176179699,PSO,227520.0
618318671572,FFC,154330.0
967476890991,MARI,199142800.0
313275581159,FFC,12190310.0
453567985127,HBL,11737915.0
422364395106,ENGRO,41086080.0
767561393336,OGDC,1904640.0
402112533249,HBL,16405360.0
641806109039,FFC,17523000.0
496158873753,MARI,4132500.0
978319464112,HBL,7406580.0
367357055287,OGDC,9600.0
780334139928,MEBL,471580.0
435440792268,MEBL,360810.0
443289185461,OGDC,12120.0
584070729409,OGDC,7135200.0
169246977159,LUCK,88087350.0
846696083270,PPL,1173165.0
616966167413,SYS,1590940.0
435449615252,FFC,201080.0
589063127807,PPL,38430.0
684133488456,PSO,3183840.0
193387070640,MARI,37948700.0
215975098122,HBL,1274900.0
062138023997,PPL,113715.0
449947800899,HBL,1725010.0
748051545001,MEBL,85880.0
804920801377,SYS,6016920.0
699361236358,ENGRO,4438280.0
336914991438,ENGRO,7982800.0
391210391075,OGDC,611160.0
192597758878,MEBL,5003270.0
806981652764,FFC,3987720.0
670441289953,PPL,1307775.0
198354827236,HBL,204630.0
413334539464,HBL,3370220.0
064918816155,SYS,26164380.0
608531676906,OGDC,254760.0
942659816287,PSO,5976360.0
054300174273,PPL,3658830.0
247582402701,LUCK,51402650.0
175566774319,OGDC,327600.0
963809159705,LUCK,1516450.0
